class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label,attendance_rate
4th Year,96.8,74.1,76.3,52.6,65.7,74.2,56.9,94.0,Achievable target,100.0,Pass,True,,High,60.7
1st Year,75.9,61.4,84.0,59.3,70.0,72.5,73.3,79.1,Achievable target,81.9,Pass,True,,High,41.3
2nd Year,66.5,75.3,65.9,70.2,70.6,72.6,71.7,80.9,Achievable target,100.0,Pass,True,,High,56.7
3rd Year,64.8,79.1,76.2,72.4,68.4,71.6,87.9,63.5,Achievable target,63.2,Fail,True,,Low,91.0
1st Year,82.7,70.6,69.8,74.6,93.3,85.7,68.8,79.6,Achievable target,93.1,Pass,True,,High,73.0
1st Year,57.7,82.4,51.2,75.9,91.8,79.7,69.4,82.2,Achievable target,98.0,Pass,True,,High,61.5
2nd Year,79.1,75.4,66.8,73.8,70.5,57.7,79.5,71.4,Achievable target,71.2,Fail,True,,Medium,73.2
4th Year,64.2,70.0,75.7,64.4,64.0,76.6,58.1,95.6,Achievable target,93.2,Pass,True,,High,47.1
3rd Year,57.5,78.0,79.8,76.1,84.7,77.6,68.9,81.0,Achievable target,93.4,Pass,True,,High,50.3
4th Year,74.4,78.0,77.0,72.3,67.2,71.7,66.6,84.0,Achievable target,94.7,Pass,True,,High,57.4
3rd Year,99.3,68.1,65.6,78.5,76.3,80.0,69.7,79.0,Achievable target,69.9,Fail,True,,High,61.0
2nd Year,57.0,86.5,72.3,60.4,87.3,70.4,79.4,71.7,Achievable target,65.4,Fail,True,,Low,86.9
3rd Year,80.7,58.6,94.2,81.1,73.3,70.5,76.5,72.2,Achievable target,51.8,Fail,True,,Low,81.6
1st Year,92.0,75.3,73.1,65.7,80.2,69.7,63.8,85.1,Achievable target,96.1,Pass,True,,High,47.8
1st Year,79.0,73.6,64.2,74.9,72.6,50.0,72.4,78.7,Achievable target,81.1,Pass,True,,High,50.8
3rd Year,57.8,56.2,80.0,50.0,75.8,67.7,85.7,69.8,Achievable target,73.2,Fail,True,,Medium,62.9
3rd Year,67.8,88.7,67.6,81.1,68.8,61.7,63.0,87.1,Achievable target,75.2,Pass,True,,High,62.1
1st Year,74.7,82.0,68.0,85.1,61.8,56.4,72.5,77.8,Achievable target,71.8,Fail,True,,High,40.0
2nd Year,76.8,84.2,81.1,95.8,64.5,83.1,69.2,78.1,Achievable target,78.3,Pass,True,,High,54.3
3rd Year,57.3,61.8,81.1,79.2,74.6,73.6,70.5,81.6,Achievable target,79.9,Pass,True,,High,60.6
4th Year,60.3,82.4,59.1,87.0,100.0,68.2,55.1,93.5,Achievable target,99.7,Pass,True,,High,69.2
3rd Year,77.7,80.2,67.6,52.2,66.3,62.7,84.9,68.2,Achievable target,79.0,Pass,True,,Medium,71.5
2nd Year,60.6,56.5,93.6,76.6,77.8,71.5,63.5,87.5,Achievable target,100.0,Pass,True,,High,65.0
2nd Year,69.8,71.4,84.7,73.0,79.6,78.6,81.2,68.4,Achievable target,73.2,Fail,True,,Low,82.0
2nd Year,71.1,69.4,56.9,50.3,70.3,60.1,65.0,90.7,Achievable target,100.0,Pass,True,,High,51.0
3rd Year,74.1,58.4,73.0,74.0,50.0,68.5,65.0,89.6,Achievable target,86.3,Pass,True,,High,51.6
4th Year,62.7,78.2,77.9,59.9,75.3,77.4,83.0,69.1,Achievable target,57.4,Fail,True,,Medium,81.7
2nd Year,85.4,82.5,72.3,67.9,66.0,50.0,80.8,69.3,Achievable target,70.8,Fail,True,,Medium,78.0
1st Year,78.9,75.7,80.8,74.9,83.0,67.9,73.1,75.1,Achievable target,64.1,Fail,True,,High,60.9
1st Year,74.5,82.6,83.6,64.0,52.2,64.1,78.6,73.2,Achievable target,78.3,Pass,True,,Medium,84.0
3rd Year,91.5,76.4,53.3,65.0,82.4,67.1,68.3,82.3,Achievable target,79.5,Pass,True,,Medium,70.8
3rd Year,70.1,67.4,89.8,61.1,64.1,63.4,71.0,81.2,Achievable target,66.7,Fail,True,,High,62.0
1st Year,75.9,78.0,79.2,84.1,75.7,69.9,64.6,83.6,Achievable target,100.0,Pass,True,,High,59.5
1st Year,79.1,70.4,74.1,74.7,75.9,88.1,80.0,70.1,Achievable target,69.7,Fail,True,,Low,82.9
3rd Year,82.4,79.9,73.9,63.9,74.2,65.2,64.3,85.8,Achievable target,74.4,Fail,True,,Medium,84.0
1st Year,73.1,75.7,99.2,67.3,78.3,71.5,85.7,62.4,Achievable target,76.4,Pass,True,,Low,91.5
3rd Year,85.9,74.5,100.0,69.0,77.2,88.8,68.0,78.8,Achievable target,76.5,Pass,True,,High,45.8
2nd Year,64.1,69.3,76.3,83.3,77.1,62.9,71.3,79.2,Achievable target,95.1,Pass,True,,High,53.8
1st Year,88.1,72.3,69.5,100.0,78.0,87.0,78.5,68.2,Achievable target,65.9,Fail,True,,Low,86.1
4th Year,65.0,65.3,62.4,84.4,69.1,68.6,71.3,81.6,Achievable target,81.2,Pass,True,,High,63.3
1st Year,74.9,72.7,82.0,63.5,60.8,86.7,68.2,83.9,Achievable target,92.3,Pass,True,,High,46.2
2nd Year,76.0,80.4,77.3,63.9,81.3,76.2,70.8,78.8,Achievable target,89.7,Pass,True,,High,40.0
1st Year,64.7,67.3,62.4,88.6,80.8,71.6,79.9,71.2,Achievable target,83.9,Pass,True,,Low,75.0
1st Year,80.5,88.0,100.0,53.4,64.8,67.8,64.6,84.2,Achievable target,88.3,Pass,True,,High,56.4
1st Year,66.2,63.4,60.8,69.9,59.2,62.1,69.9,85.6,Achievable target,95.9,Pass,True,,High,56.2
1st Year,77.3,74.0,79.0,79.3,80.5,69.3,71.2,77.3,Achievable target,89.8,Pass,True,,High,59.8
1st Year,69.0,98.2,76.1,51.6,61.7,77.7,79.6,72.2,Achievable target,79.2,Pass,True,,Low,80.2
1st Year,53.0,73.6,72.0,67.9,96.9,68.4,70.1,81.1,Achievable target,84.7,Pass,True,,High,47.2
3rd Year,79.8,81.9,62.5,61.7,73.8,65.3,88.8,62.7,Achievable target,53.2,Fail,True,,Low,75.0
3rd Year,75.4,51.7,71.3,73.6,70.9,65.9,69.6,83.6,Achievable target,94.6,Pass,True,,High,59.6
2nd Year,63.9,67.1,71.3,74.5,80.5,78.6,68.8,83.0,Achievable target,88.4,Pass,True,,High,60.0
2nd Year,86.0,70.0,68.1,78.5,80.5,81.0,69.4,79.8,Achievable target,80.7,Pass,True,,High,64.9
2nd Year,68.3,82.6,84.9,88.5,94.2,61.7,58.2,87.4,Achievable target,100.0,Pass,True,,High,63.3
4th Year,63.3,73.6,73.5,72.3,65.8,61.7,60.9,91.8,Achievable target,82.5,Pass,True,,High,55.5
4th Year,56.0,74.5,64.4,74.4,64.1,72.4,65.9,88.3,Achievable target,100.0,Pass,True,,High,67.8
1st Year,60.5,76.1,75.2,80.2,99.0,84.1,82.2,66.2,Achievable target,71.0,Fail,True,,Low,83.3
1st Year,76.6,79.1,60.8,58.3,91.9,80.2,70.8,80.0,Achievable target,88.2,Pass,True,,High,51.7
1st Year,62.6,61.2,72.9,72.3,62.8,55.7,66.4,87.9,Achievable target,88.9,Pass,True,,High,52.8
1st Year,69.8,87.8,64.0,57.1,84.4,65.8,83.1,68.1,Achievable target,56.4,Fail,True,,Low,81.1
3rd Year,79.2,66.1,54.9,64.7,72.8,59.0,86.3,67.4,Achievable target,71.0,Fail,True,,Medium,58.0
2nd Year,87.0,61.3,72.4,81.3,50.0,65.8,83.4,68.9,Achievable target,77.2,Pass,True,,Low,84.8
1st Year,85.5,59.6,77.3,76.3,86.1,84.9,62.7,86.3,Achievable target,98.1,Pass,True,,High,59.0
2nd Year,79.8,50.0,64.2,75.0,71.1,54.0,66.2,87.3,Achievable target,90.3,Pass,True,,High,54.1
2nd Year,79.0,82.6,80.5,70.9,51.8,52.0,88.9,62.1,Achievable target,50.0,Fail,True,,Low,80.4
1st Year,68.1,78.3,60.6,80.8,84.0,60.0,73.5,76.8,Achievable target,66.4,Fail,True,,High,60.0
4th Year,74.9,50.0,58.4,95.5,67.0,71.4,68.5,84.4,Achievable target,100.0,Pass,True,,High,70.7
1st Year,50.2,87.9,73.6,86.3,76.6,74.8,78.1,71.9,Achievable target,66.0,Fail,True,,Low,84.2
4th Year,78.8,77.6,81.6,100.0,84.8,73.0,81.0,64.2,Achievable target,83.5,Pass,True,,Low,81.5
1st Year,54.9,78.6,86.8,87.5,68.4,80.5,65.5,84.4,Achievable target,80.1,Pass,True,,High,52.3
4th Year,87.0,84.3,100.0,64.6,67.5,50.5,73.3,73.9,Achievable target,77.1,Pass,True,,High,56.4
4th Year,69.8,67.7,63.0,50.0,68.3,80.6,80.2,75.4,Achievable target,86.7,Pass,True,,Medium,62.1
4th Year,77.7,67.6,96.0,73.6,88.5,65.3,59.7,87.5,Achievable target,84.3,Pass,True,,High,56.0
3rd Year,76.5,83.1,76.7,89.4,74.1,76.0,71.2,76.3,Achievable target,97.2,Pass,True,,High,57.5
3rd Year,79.2,77.7,70.0,78.1,99.5,55.0,60.2,86.8,Achievable target,92.6,Pass,True,,High,71.8
3rd Year,70.2,78.3,88.1,86.7,73.5,68.6,61.5,86.3,Achievable target,95.9,Pass,True,,High,64.5
3rd Year,50.0,79.4,50.0,90.6,75.4,70.9,65.6,87.4,Achievable target,89.7,Pass,True,,High,65.3
1st Year,85.1,62.8,55.2,76.5,73.0,80.3,75.8,76.4,Achievable target,88.0,Pass,True,,Low,80.4
2nd Year,67.6,74.4,100.0,83.2,85.7,52.3,67.9,78.5,Achievable target,99.3,Pass,True,,High,62.4
2nd Year,83.3,90.7,71.2,50.0,71.2,68.8,64.7,86.2,Achievable target,89.9,Pass,True,,High,47.9
4th Year,82.9,62.1,71.3,65.3,91.0,57.4,71.6,78.6,Achievable target,100.0,Pass,True,,High,59.5
2nd Year,82.2,81.0,80.7,73.0,75.7,73.7,59.9,88.3,Achievable target,87.2,Pass,True,,High,60.3
2nd Year,59.5,50.0,75.2,77.2,87.5,76.4,75.3,77.3,Achievable target,89.9,Pass,True,,Medium,65.6
3rd Year,91.8,91.8,61.7,69.3,79.0,81.6,82.2,65.9,Achievable target,75.8,Pass,True,,Low,94.0
1st Year,100.0,90.7,86.5,68.9,63.1,63.0,70.3,76.3,Achievable target,70.6,Fail,True,,High,61.5
1st Year,82.6,60.5,70.6,72.1,92.0,78.0,69.1,80.6,Achievable target,87.7,Pass,True,,Medium,58.0
2nd Year,69.3,50.0,79.3,65.2,73.9,82.4,74.8,78.9,Achievable target,84.0,Pass,True,,High,61.4
2nd Year,72.4,70.2,82.6,55.5,67.4,51.7,51.2,101.5,Cannot pass,50.0,Fail,True,,Low,82.0
1st Year,81.4,66.2,54.6,81.2,86.5,74.7,76.4,74.1,Achievable target,82.7,Pass,True,,Low,84.0
2nd Year,72.9,50.5,81.7,54.0,77.0,78.3,92.0,61.9,Achievable target,68.4,Fail,True,,Medium,74.3
2nd Year,63.0,59.8,68.2,71.3,65.9,65.9,69.9,84.8,Achievable target,89.1,Pass,True,,High,60.1
2nd Year,80.3,68.2,84.9,76.7,65.2,56.2,69.9,80.1,Achievable target,84.4,Pass,True,,Medium,58.0
2nd Year,63.3,54.1,76.8,69.3,50.0,78.1,78.4,77.8,Achievable target,81.9,Pass,True,,Medium,62.9
3rd Year,67.1,62.9,91.8,53.5,56.5,56.3,87.2,67.1,Achievable target,68.4,Fail,True,,Medium,76.4
2nd Year,86.4,89.3,64.7,66.0,80.6,66.7,80.7,68.1,Achievable target,74.5,Fail,True,,Low,90.5
4th Year,50.0,51.6,70.1,91.5,68.3,68.1,50.0,104.4,Cannot pass,75.0,Pass,True,,High,72.2
4th Year,74.6,86.7,98.1,66.7,73.2,75.8,76.6,71.0,Achievable target,100.0,Pass,True,,Low,93.0
2nd Year,94.7,55.6,85.4,61.5,74.6,62.1,92.0,58.3,Achievable target,50.0,Fail,True,,Low,75.0
2nd Year,70.6,62.2,61.9,76.6,85.0,61.5,77.2,74.7,Achievable target,73.9,Fail,True,,Medium,76.4
2nd Year,71.9,74.2,80.1,62.0,82.1,69.5,59.8,90.7,Achievable target,90.6,Pass,True,,High,41.7
4th Year,83.0,100.0,69.0,68.0,82.4,78.8,73.9,73.4,Achievable target,98.8,Pass,True,,Low,92.1
3rd Year,83.0,67.1,68.7,79.7,63.7,91.8,58.5,92.8,Achievable target,84.6,Pass,True,,High,59.0
3rd Year,68.6,74.4,85.1,66.3,51.8,53.1,83.2,69.7,Achievable target,79.0,Pass,True,,Low,78.3
2nd Year,51.0,58.7,58.0,71.6,59.5,71.7,61.7,95.9,Achievable target,100.0,Pass,True,,High,73.0
3rd Year,65.2,64.3,68.2,88.9,81.1,57.4,71.8,78.9,Achievable target,87.2,Pass,True,,High,62.2
2nd Year,73.6,68.0,68.3,77.2,80.2,78.9,62.7,88.1,Achievable target,100.0,Pass,True,,High,41.9
3rd Year,62.8,73.8,50.0,75.9,82.3,58.9,65.7,87.3,Achievable target,100.0,Pass,True,,High,59.3
1st Year,70.1,94.7,63.1,75.9,73.0,61.6,85.7,64.1,Achievable target,64.6,Fail,True,,Low,80.3
3rd Year,72.2,72.1,74.7,83.3,89.5,62.5,72.1,76.2,Achievable target,83.1,Pass,True,,High,57.9
4th Year,73.4,82.9,65.2,82.4,64.5,67.7,65.6,85.1,Achievable target,71.5,Fail,True,,High,53.3
1st Year,86.2,99.3,72.0,50.0,67.0,71.8,59.9,90.1,Achievable target,96.1,Pass,True,,High,68.0
3rd Year,87.8,79.9,76.3,85.2,79.1,73.4,52.8,93.9,Achievable target,91.0,Pass,True,,High,45.6
1st Year,87.6,84.2,91.2,77.6,84.0,68.4,58.8,86.2,Achievable target,89.3,Pass,True,,High,59.5
3rd Year,69.8,66.4,93.4,75.9,82.8,54.9,72.2,76.5,Achievable target,64.6,Fail,True,,High,71.5
1st Year,74.8,66.5,73.5,90.2,79.9,75.9,80.7,68.3,Achievable target,77.3,Pass,True,,Low,79.9
4th Year,53.4,70.9,94.3,70.9,52.3,68.0,65.6,87.7,Achievable target,75.7,Pass,True,,High,58.7
1st Year,95.5,81.4,72.6,69.1,86.1,80.3,86.5,60.5,Achievable target,67.0,Fail,True,,Medium,72.4
4th Year,67.1,86.8,79.7,76.3,75.1,61.3,64.1,84.9,Achievable target,77.6,Pass,True,,High,51.5
3rd Year,71.4,85.6,63.3,54.4,80.6,52.2,68.8,83.2,Achievable target,79.7,Pass,True,,High,62.2
3rd Year,80.8,79.0,78.2,69.6,82.6,68.2,60.5,88.0,Achievable target,100.0,Pass,True,,High,57.8
3rd Year,72.9,67.7,69.8,97.0,53.1,81.7,80.8,70.6,Achievable target,81.5,Pass,True,,High,49.4
3rd Year,79.2,53.8,72.1,68.3,50.0,70.1,91.7,63.5,Achievable target,80.0,Pass,True,,Medium,83.3
4th Year,78.0,69.0,50.0,83.2,90.2,66.5,53.8,96.7,Achievable target,100.0,Pass,True,,High,63.3
1st Year,90.8,77.6,73.9,88.9,93.1,59.6,67.7,77.4,Achievable target,74.7,Fail,True,,High,55.7
3rd Year,86.7,62.4,75.8,78.5,52.2,86.4,83.5,68.4,Achievable target,88.4,Pass,True,,Low,80.8
1st Year,78.9,100.0,80.9,90.6,75.5,58.0,56.9,88.0,Achievable target,78.3,Pass,True,,High,50.7
3rd Year,72.5,77.9,63.9,62.1,88.2,61.1,76.7,74.3,Achievable target,86.8,Pass,True,,Medium,79.6
1st Year,89.5,61.8,84.7,72.4,77.4,74.3,83.1,65.8,Achievable target,65.9,Fail,True,,Low,83.3
3rd Year,78.8,85.0,74.4,89.9,77.0,50.0,71.9,75.1,Achievable target,70.8,Fail,True,,High,60.7
3rd Year,80.7,63.7,98.7,78.9,81.7,81.5,76.5,70.6,Achievable target,81.7,Pass,True,,Low,83.1
2nd Year,54.6,63.8,87.9,76.8,51.0,74.9,88.4,65.7,Achievable target,80.1,Pass,True,,Medium,75.3
2nd Year,85.5,67.0,89.9,72.4,75.8,77.7,90.2,58.2,Achievable target,72.4,Fail,True,,Low,83.4
3rd Year,87.2,62.9,61.8,71.1,83.1,74.2,70.5,80.4,Achievable target,87.5,Pass,True,,High,63.1
3rd Year,57.8,53.9,83.0,66.3,68.8,66.9,65.9,88.6,Achievable target,94.9,Pass,True,,High,55.5
2nd Year,51.7,65.5,73.3,84.3,64.4,57.7,62.1,91.5,Achievable target,100.0,Pass,True,,Medium,76.8
3rd Year,92.8,65.4,65.4,91.4,75.9,67.1,80.7,67.7,Achievable target,75.7,Pass,True,,Low,87.4
4th Year,66.9,71.6,89.2,90.6,63.8,58.6,57.7,91.6,Achievable target,100.0,Pass,True,,High,56.1
1st Year,72.9,74.5,61.9,72.7,73.5,73.5,68.6,83.4,Achievable target,90.4,Pass,True,,High,50.1
1st Year,86.7,87.5,69.5,70.9,81.2,76.7,72.1,75.8,Achievable target,89.2,Pass,True,,High,49.5
1st Year,66.6,80.3,72.4,62.1,62.2,83.6,66.2,86.9,Achievable target,75.6,Pass,True,,High,51.1
3rd Year,90.3,71.6,92.6,67.4,76.8,72.3,73.8,73.8,Achievable target,77.5,Pass,True,,High,49.1
2nd Year,100.0,61.0,51.2,88.5,63.7,77.9,92.0,59.1,Achievable target,50.3,Fail,True,,Low,88.3
3rd Year,73.2,66.5,76.5,62.3,71.3,65.5,69.9,82.6,Achievable target,90.4,Pass,True,,High,56.6
3rd Year,78.7,61.6,65.2,69.3,56.7,63.6,66.8,87.6,Achievable target,100.0,Pass,True,,High,69.6
2nd Year,68.5,74.8,68.7,70.2,73.2,73.3,81.1,70.9,Achievable target,71.2,Fail,True,,Low,95.4
4th Year,65.7,81.5,90.2,68.0,79.1,64.6,73.4,75.6,Achievable target,81.9,Pass,True,,High,57.2
3rd Year,70.6,77.7,91.7,79.4,52.7,71.2,85.2,65.1,Achievable target,77.7,Pass,True,,Low,76.3
1st Year,78.7,87.8,70.8,85.0,65.3,57.7,72.7,76.0,Achievable target,60.3,Fail,True,,High,53.9
2nd Year,56.0,75.1,52.8,70.6,88.5,59.5,68.7,84.5,Achievable target,84.3,Pass,True,,High,56.4
2nd Year,51.1,58.4,61.3,72.7,69.1,75.0,53.6,102.6,Cannot pass,50.0,Fail,True,,High,45.1
1st Year,89.8,84.6,79.2,75.1,78.0,77.5,55.2,91.6,Achievable target,67.6,Fail,True,,High,55.0
1st Year,63.3,83.4,60.4,83.2,87.3,58.4,53.1,96.6,Achievable target,91.8,Pass,True,,High,59.3
4th Year,75.9,71.3,78.1,50.0,76.9,75.3,74.8,77.5,Achievable target,93.5,Pass,True,,Low,81.7
2nd Year,72.1,72.8,81.7,72.5,60.1,63.1,57.7,93.9,Achievable target,100.0,Pass,True,,High,50.9
2nd Year,71.7,74.2,74.7,75.3,85.6,68.7,83.4,65.9,Achievable target,74.6,Fail,True,,Low,80.2
3rd Year,60.7,75.5,88.5,53.1,75.5,83.0,71.4,80.8,Achievable target,94.6,Pass,True,,High,71.3
2nd Year,66.6,69.1,62.8,71.4,94.9,76.7,68.7,82.3,Achievable target,89.5,Pass,True,,High,55.7
4th Year,58.6,59.7,58.2,93.6,68.0,76.6,62.8,90.9,Achievable target,100.0,Pass,True,,High,50.4
3rd Year,73.1,68.7,62.4,70.6,100.0,88.0,77.2,72.8,Achievable target,74.6,Fail,True,,Low,82.1
2nd Year,89.7,63.4,81.0,63.7,52.6,61.3,63.2,89.3,Achievable target,95.5,Pass,True,,High,64.6
2nd Year,85.3,87.0,85.6,67.9,71.4,58.4,61.4,86.4,Achievable target,85.1,Pass,True,,High,51.5
4th Year,82.2,78.0,68.8,54.5,74.7,61.1,82.7,69.0,Achievable target,86.6,Pass,True,,Low,86.4
3rd Year,86.0,59.4,80.9,77.3,82.2,65.9,74.6,74.3,Achievable target,94.5,Pass,True,,High,62.8
4th Year,83.6,65.3,54.5,67.2,83.8,50.0,68.8,83.3,Achievable target,100.0,Pass,True,,High,63.0
1st Year,67.1,65.3,52.1,93.9,83.1,66.4,77.4,73.9,Achievable target,74.8,Fail,True,,Low,91.0
4th Year,82.4,84.7,80.1,70.5,71.5,62.9,71.2,77.4,Achievable target,72.9,Fail,True,,High,52.6
3rd Year,68.4,100.0,79.9,68.0,78.8,76.5,74.9,73.1,Achievable target,90.9,Pass,True,,High,66.1
1st Year,61.6,91.0,65.7,79.3,85.9,72.1,63.1,86.0,Achievable target,96.4,Pass,True,,High,50.7
3rd Year,77.9,74.5,73.5,72.7,66.7,62.4,91.4,59.6,Achievable target,67.9,Fail,True,,Low,82.0
3rd Year,68.1,90.7,72.1,64.2,67.4,74.5,65.4,85.8,Achievable target,84.5,Pass,True,,Low,90.0
1st Year,86.3,81.3,80.0,70.4,80.1,75.9,86.3,61.4,Achievable target,70.7,Fail,True,,Low,88.1
2nd Year,65.9,70.4,84.7,83.6,61.9,60.7,69.2,81.6,Achievable target,75.7,Pass,True,,High,57.0
3rd Year,63.4,74.7,93.6,51.0,76.7,63.5,79.0,72.6,Achievable target,83.9,Pass,True,,Low,78.0
2nd Year,57.3,66.0,69.1,68.5,67.2,50.0,78.3,76.4,Achievable target,95.2,Pass,True,,Medium,74.9
2nd Year,73.5,67.1,56.3,82.5,82.2,57.4,82.3,69.0,Achievable target,90.3,Pass,True,,Medium,66.6
2nd Year,83.3,55.4,76.9,81.3,61.3,60.9,62.9,88.8,Achievable target,100.0,Pass,True,,High,49.6
2nd Year,73.5,72.0,95.0,95.9,53.9,69.3,81.6,66.9,Achievable target,58.1,Fail,True,,Low,80.8
4th Year,100.0,62.7,84.9,84.8,61.8,58.9,89.2,58.9,Achievable target,65.9,Fail,True,,Low,85.2
3rd Year,79.2,72.1,79.9,76.1,87.4,63.3,68.6,79.4,Achievable target,100.0,Pass,True,,High,40.0
1st Year,74.3,71.4,86.2,80.2,82.0,56.0,71.4,76.7,Achievable target,73.0,Fail,True,,High,59.9
4th Year,65.6,61.2,66.8,66.1,82.6,70.2,66.0,87.3,Achievable target,91.7,Pass,True,,High,58.4
4th Year,84.8,71.6,90.1,89.4,76.2,72.8,67.7,78.6,Achievable target,97.7,Pass,True,,High,52.3
2nd Year,63.8,91.8,72.7,74.9,69.4,72.6,87.9,62.3,Achievable target,73.5,Fail,True,,Low,89.2
4th Year,63.0,56.2,80.8,64.2,100.0,68.6,61.3,89.8,Achievable target,100.0,Pass,True,,Medium,75.3
1st Year,60.7,58.7,79.4,91.3,74.2,52.8,61.9,89.2,Achievable target,86.9,Pass,True,,Medium,66.8
4th Year,80.1,51.8,65.5,60.8,51.2,62.2,86.9,69.7,Achievable target,64.8,Fail,True,,Medium,66.3
3rd Year,74.8,50.0,57.9,67.1,63.7,64.3,77.2,78.9,Achievable target,96.1,Pass,True,,Low,87.5
3rd Year,78.0,77.0,83.9,82.2,86.7,64.4,91.9,54.8,Achievable target,50.0,Fail,True,,Low,76.4
1st Year,73.4,77.0,79.4,75.1,68.8,69.3,66.7,83.4,Achievable target,86.4,Pass,True,,High,54.3
4th Year,69.5,63.8,78.3,72.3,65.6,83.0,72.3,80.2,Achievable target,84.5,Pass,True,,High,52.0
1st Year,65.7,59.2,84.9,74.3,63.3,76.8,64.6,88.2,Achievable target,100.0,Pass,True,,High,57.6
1st Year,82.9,66.8,56.9,85.3,67.1,58.4,72.5,79.1,Achievable target,90.2,Pass,True,,High,58.7
1st Year,68.6,73.9,86.8,73.6,59.4,75.4,53.7,97.6,Achievable target,100.0,Pass,True,,High,57.3
3rd Year,79.8,67.7,95.5,73.4,50.0,75.0,77.8,73.1,Achievable target,74.1,Fail,True,,Low,89.7
1st Year,77.6,96.2,91.8,94.8,61.5,60.3,74.3,71.0,Achievable target,88.2,Pass,True,,High,58.8
4th Year,84.1,65.0,76.0,58.5,65.9,77.2,70.5,82.0,Achievable target,100.0,Pass,True,,High,54.5
3rd Year,65.5,83.9,82.8,76.6,57.6,66.9,67.3,83.6,Achievable target,95.5,Pass,True,,High,47.3
1st Year,69.8,64.7,83.6,87.2,85.8,54.1,62.3,86.1,Achievable target,92.1,Pass,True,,High,62.8
1st Year,64.6,50.0,52.7,90.0,68.7,73.1,78.2,76.7,Achievable target,68.7,Fail,True,,Medium,74.7
1st Year,64.6,92.6,88.2,73.7,70.0,70.7,59.6,89.0,Achievable target,87.6,Pass,True,,High,68.6
3rd Year,71.9,76.1,92.1,78.3,81.9,66.2,76.1,71.4,Achievable target,74.3,Fail,True,,High,51.0
3rd Year,87.1,59.7,82.2,70.0,50.0,68.1,91.4,61.2,Achievable target,60.9,Fail,True,,Medium,71.2
1st Year,50.0,61.5,79.6,74.7,75.6,61.2,85.7,67.7,Achievable target,72.5,Fail,True,,Medium,70.6
4th Year,96.2,58.6,73.1,77.0,64.8,74.7,56.3,94.2,Achievable target,100.0,Pass,True,,High,56.3
1st Year,73.7,54.7,89.9,65.4,97.2,68.1,65.8,83.6,Achievable target,100.0,Pass,True,,Medium,71.1
3rd Year,73.0,85.4,72.8,73.0,66.6,70.2,75.2,75.2,Achievable target,78.6,Pass,True,,Low,75.4
4th Year,74.8,77.1,64.2,71.9,66.3,72.1,70.4,81.7,Achievable target,74.6,Fail,True,,High,63.6
3rd Year,100.0,72.4,91.5,71.1,76.4,56.7,57.4,89.0,Achievable target,100.0,Pass,True,,High,62.2
3rd Year,57.9,68.2,75.9,92.0,76.0,59.4,74.9,75.6,Achievable target,80.1,Pass,True,,High,66.0
4th Year,89.6,80.9,92.4,72.7,100.0,50.0,71.0,72.9,Achievable target,60.6,Fail,True,,High,73.0
1st Year,67.7,64.4,59.2,100.0,83.0,74.3,89.9,60.2,Achievable target,72.3,Fail,True,,Low,82.4
1st Year,69.5,88.0,81.4,96.4,55.3,56.1,68.6,79.8,Achievable target,95.1,Pass,True,,High,56.7
1st Year,70.3,68.0,50.3,85.8,70.2,69.9,82.5,70.5,Achievable target,51.2,Fail,True,,Medium,71.1
2nd Year,82.1,100.0,69.3,68.5,74.8,72.3,58.7,89.3,Achievable target,86.1,Pass,True,,High,72.5
3rd Year,85.0,66.8,66.0,85.8,77.8,74.6,61.0,88.4,Achievable target,92.3,Pass,True,,High,43.2
3rd Year,50.0,59.1,91.0,78.1,64.5,56.2,78.2,75.0,Achievable target,87.3,Pass,True,,Low,86.4
4th Year,71.4,73.6,82.0,57.5,63.6,67.8,81.7,71.0,Achievable target,70.8,Fail,True,,Medium,60.7
1st Year,76.6,72.2,80.1,59.0,77.6,85.5,61.7,89.2,Achievable target,85.9,Pass,True,,High,40.0
3rd Year,86.2,79.1,75.0,72.3,63.6,86.0,71.3,78.6,Achievable target,90.9,Pass,True,,High,40.8
1st Year,72.6,88.1,72.0,63.0,67.6,78.6,57.6,93.6,Achievable target,93.9,Pass,True,,High,45.9
1st Year,75.7,69.0,79.1,79.5,83.8,71.9,69.3,79.5,Achievable target,89.9,Pass,True,,High,65.6
3rd Year,90.1,85.1,62.5,62.8,72.5,58.2,79.3,70.9,Achievable target,64.8,Fail,True,,Medium,64.9
4th Year,68.1,60.1,68.2,67.8,65.5,75.8,66.8,87.7,Achievable target,79.2,Pass,True,,High,55.2
3rd Year,69.7,87.2,75.7,100.0,75.4,66.9,68.7,78.0,Achievable target,90.6,Pass,True,,High,47.7
1st Year,70.0,73.4,76.4,78.5,97.7,74.2,60.0,87.9,Achievable target,95.4,Pass,True,,High,61.9
3rd Year,63.5,83.5,75.8,55.0,82.4,62.0,64.7,86.8,Achievable target,100.0,Pass,True,,High,48.2
1st Year,88.2,63.4,73.3,53.2,58.7,66.7,88.3,65.5,Achievable target,65.2,Fail,True,,Medium,80.2
4th Year,85.7,67.9,60.4,76.1,67.3,70.2,71.8,80.0,Achievable target,77.0,Pass,True,,High,49.1
