class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label
3rd Year,76.8,82.1,63.3,76.6,80.0,70.4,63.9,68.0,Achievable target,58.7,Fail,False,Underperformance,High
1st Year,65.2,74.7,71.5,72.6,76.2,57.2,84.2,76.0,Borderline,85.6,Pass,True,,Low
2nd Year,81.9,72.6,94.7,77.1,86.3,70.2,63.6,60.5,Achievable target,71.7,Pass,True,,High
4th Year,98.6,88.9,99.8,73.2,92.0,79.1,80.7,75.6,Achievable target,89.1,Pass,True,,Low
2nd Year,73.2,54.1,72.4,65.5,79.4,72.6,52.9,89.6,Cannot pass,91.9,Pass,False,Overperformance,High
3rd Year,65.1,89.5,83.0,93.8,72.6,78.1,66.4,73.0,Achievable target,77.3,Pass,True,,High
3rd Year,69.8,92.6,66.0,85.3,90.4,84.8,68.5,51.6,Achievable target,61.1,Pass,True,,High
2nd Year,88.6,75.6,79.1,66.3,83.6,68.4,82.7,51.9,Achievable target,71.4,Pass,True,,Low
1st Year,55.8,50.5,60.7,54.9,57.0,74.4,66.9,90.1,Cannot pass,100.0,Pass,False,Overperformance,Medium
3rd Year,81.2,51.0,73.4,74.7,52.1,54.8,60.8,98.4,Cannot pass,87.2,Fail,True,,High
1st Year,91.8,93.5,80.1,81.3,89.3,70.6,87.8,50.5,Achievable target,50.0,Fail,False,Underperformance,High
1st Year,60.9,54.8,56.0,67.0,77.1,52.0,50.9,93.6,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,80.7,78.4,59.1,76.1,71.9,64.3,61.8,97.8,Cannot pass,81.7,Fail,True,,High
3rd Year,99.9,80.2,92.7,94.8,70.0,64.2,74.7,72.3,Achievable target,65.8,Fail,False,Underperformance,High
3rd Year,62.3,75.5,85.4,66.9,96.1,67.5,89.4,55.6,Achievable target,50.0,Fail,False,Underperformance,High
3rd Year,59.8,59.2,59.5,76.5,83.7,69.1,70.3,83.3,Borderline,94.4,Pass,True,,Medium
1st Year,65.1,72.8,81.9,61.2,50.4,53.5,65.5,92.1,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,81.8,92.3,71.8,93.2,62.1,81.0,90.1,70.5,Achievable target,87.7,Pass,True,,Low
4th Year,76.4,67.6,69.8,51.9,56.4,65.4,51.6,96.9,Cannot pass,79.9,Fail,True,,High
2nd Year,53.3,80.1,52.2,65.2,76.9,52.0,50.5,88.3,Cannot pass,99.0,Pass,False,Overperformance,High
4th Year,54.1,54.0,68.2,57.5,73.4,76.6,71.4,98.5,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,69.0,64.6,86.9,64.0,95.9,83.1,90.6,58.2,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,57.8,67.3,71.1,81.3,73.8,53.3,63.3,95.1,Cannot pass,98.9,Pass,False,Overperformance,High
4th Year,59.1,53.8,66.4,55.3,68.9,54.8,70.3,90.3,Cannot pass,72.3,Fail,True,,High
1st Year,74.2,67.6,64.4,72.6,84.8,84.5,66.1,77.2,Borderline,91.8,Pass,True,,High
1st Year,56.4,74.3,66.6,70.9,61.5,62.3,55.0,97.1,Cannot pass,93.1,Fail,True,,High
1st Year,92.3,90.4,62.7,72.4,79.8,80.3,89.7,59.8,Achievable target,50.0,Fail,False,Underperformance,High
1st Year,61.9,51.7,73.8,54.8,58.2,71.7,65.0,88.2,Cannot pass,87.1,Fail,True,,High
4th Year,67.1,63.0,77.2,64.5,76.5,68.4,62.6,76.9,Borderline,82.4,Pass,True,,High
3rd Year,59.9,78.9,76.6,61.9,68.4,65.9,73.2,90.8,Cannot pass,84.2,Fail,True,,High
2nd Year,51.3,60.1,78.1,79.2,53.5,62.8,60.7,93.9,Cannot pass,82.3,Fail,True,,High
4th Year,77.0,81.2,70.9,71.1,66.9,59.4,54.2,95.0,Cannot pass,93.2,Fail,True,,High
3rd Year,70.9,70.7,67.8,89.0,62.8,61.5,62.0,84.2,Borderline,64.4,Fail,False,Ambiguity,High
1st Year,96.4,72.6,86.6,63.5,80.8,82.0,78.6,56.2,Achievable target,72.9,Pass,True,,Low
4th Year,79.4,86.2,92.0,71.2,94.8,71.1,85.5,52.9,Achievable target,50.0,Fail,False,Underperformance,High
4th Year,74.3,85.1,89.9,60.5,66.0,67.7,71.4,81.9,Borderline,99.2,Pass,True,,High
1st Year,62.7,79.3,85.5,79.5,67.0,74.5,74.9,54.9,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,68.8,66.5,78.1,53.9,53.7,58.4,62.1,91.6,Cannot pass,76.1,Fail,True,,High
3rd Year,52.7,63.2,74.7,77.2,73.5,65.6,70.3,96.2,Cannot pass,90.7,Fail,True,,High
3rd Year,74.7,60.1,70.9,65.4,66.1,52.5,68.7,98.4,Cannot pass,94.7,Fail,True,,High
2nd Year,58.6,58.0,89.7,73.3,68.7,65.2,86.4,78.5,Borderline,93.3,Pass,True,,High
2nd Year,59.3,79.5,57.1,79.3,65.3,79.4,80.1,85.1,Borderline,86.6,Pass,True,,Medium
4th Year,81.7,57.8,58.8,76.0,55.1,68.5,71.1,88.4,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,73.5,95.3,68.2,75.8,94.2,68.5,86.8,52.1,Achievable target,62.4,Pass,True,,Low
4th Year,79.4,83.1,85.0,89.4,79.2,80.1,72.2,87.8,Borderline,100.0,Pass,True,,High
1st Year,57.5,65.9,73.4,56.5,56.8,77.4,62.2,90.2,Cannot pass,97.5,Pass,False,Overperformance,High
2nd Year,77.6,87.5,89.6,78.5,80.1,66.7,82.7,78.0,Borderline,81.1,Pass,True,,Low
1st Year,85.5,67.0,79.3,72.4,67.7,65.6,61.1,82.7,Borderline,73.2,Fail,False,Ambiguity,High
3rd Year,56.9,80.0,70.4,78.8,53.5,67.4,73.8,92.0,Cannot pass,87.3,Fail,True,,High
4th Year,72.4,79.0,74.4,72.3,86.6,64.5,72.9,67.9,Achievable target,72.3,Pass,True,,High
3rd Year,56.4,50.0,65.2,51.2,58.7,77.9,75.7,90.6,Cannot pass,83.7,Fail,True,,Medium
4th Year,77.0,75.7,54.0,54.0,63.3,74.4,74.7,89.3,Cannot pass,77.4,Fail,True,,High
2nd Year,88.1,96.8,79.3,65.2,84.0,74.8,86.5,58.8,Achievable target,76.5,Pass,True,,Low
4th Year,62.2,67.1,58.2,66.3,78.8,61.3,60.3,76.9,Borderline,79.3,Pass,True,,Medium
4th Year,88.2,58.5,82.1,81.3,89.9,67.4,65.6,81.3,Borderline,64.1,Fail,False,Ambiguity,High
2nd Year,72.6,65.1,81.0,85.2,70.2,77.1,69.0,81.7,Borderline,70.7,Fail,False,Ambiguity,High
1st Year,81.3,64.2,61.0,62.0,54.3,58.3,52.4,93.1,Cannot pass,97.3,Pass,False,Overperformance,High
4th Year,83.2,65.1,77.2,86.7,75.7,62.8,67.3,83.3,Borderline,93.9,Pass,True,,High
4th Year,71.7,74.9,65.8,77.2,59.3,67.1,81.1,78.6,Borderline,91.1,Pass,True,,Medium
1st Year,60.1,79.3,61.0,57.6,79.1,70.9,69.1,88.6,Cannot pass,85.1,Fail,True,,High
3rd Year,63.9,64.4,82.7,66.4,59.4,58.1,70.3,83.6,Borderline,100.0,Pass,True,,High
2nd Year,63.5,74.5,69.0,72.9,87.5,73.3,69.5,88.9,Borderline,91.1,Pass,True,,High
1st Year,66.1,66.1,79.5,66.2,64.0,57.6,68.4,94.8,Cannot pass,99.9,Pass,False,Overperformance,High
3rd Year,78.3,70.1,57.1,71.7,57.2,59.2,69.9,76.1,Borderline,69.9,Fail,False,Ambiguity,High
2nd Year,59.9,81.9,79.3,68.7,80.9,74.3,58.9,97.0,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,73.2,57.6,66.0,88.5,67.4,62.4,62.6,81.7,Borderline,64.7,Fail,False,Ambiguity,Medium
3rd Year,71.4,63.9,58.5,72.3,83.9,78.9,69.3,83.3,Borderline,74.0,Fail,False,Ambiguity,Medium
4th Year,81.7,87.9,81.3,97.7,78.3,63.5,69.9,63.0,Achievable target,74.3,Pass,True,,High
3rd Year,89.2,72.4,87.3,88.8,77.6,74.7,68.2,60.8,Achievable target,76.7,Pass,True,,High
3rd Year,76.6,66.9,79.5,81.4,68.0,81.8,59.2,75.2,Borderline,71.8,Fail,False,Ambiguity,High
2nd Year,78.1,63.6,58.8,63.7,62.6,58.4,53.9,95.9,Cannot pass,92.3,Fail,True,,High
1st Year,63.7,81.1,83.6,61.1,59.9,85.5,70.9,83.8,Borderline,82.4,Fail,False,Ambiguity,Medium
1st Year,81.2,95.7,72.3,91.5,87.2,66.3,71.5,56.2,Achievable target,65.6,Pass,True,,High
3rd Year,63.9,57.8,72.3,68.7,66.6,65.5,56.2,96.2,Cannot pass,87.8,Fail,True,,High
3rd Year,67.7,84.7,84.9,74.9,94.7,87.5,66.2,68.1,Achievable target,76.6,Pass,True,,High
3rd Year,64.4,66.3,71.6,65.9,79.8,71.4,63.6,82.1,Borderline,64.2,Fail,False,Ambiguity,High
1st Year,81.0,73.0,68.8,95.4,89.0,79.6,88.5,53.2,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,66.6,79.7,76.7,97.8,74.3,86.6,84.7,67.4,Achievable target,85.9,Pass,True,,Low
2nd Year,69.9,62.3,66.1,86.0,72.7,67.2,63.5,81.8,Borderline,96.4,Pass,True,,High
4th Year,82.0,77.8,83.0,65.3,77.8,61.6,67.9,85.1,Borderline,98.1,Pass,True,,High
3rd Year,85.3,58.8,76.6,89.5,74.5,81.0,74.9,86.0,Borderline,99.4,Pass,True,,High
3rd Year,64.5,81.5,64.9,89.4,64.5,64.1,82.8,78.4,Borderline,70.5,Fail,False,Ambiguity,Medium
4th Year,62.2,62.2,73.0,65.0,64.8,57.3,68.1,79.5,Borderline,77.9,Fail,False,Ambiguity,High
4th Year,70.1,52.3,60.1,77.9,68.6,61.5,63.0,90.5,Cannot pass,74.1,Fail,True,,High
1st Year,87.1,64.4,67.3,62.3,67.1,67.0,76.0,77.7,Borderline,59.2,Fail,False,Ambiguity,High
4th Year,57.2,85.2,80.2,68.7,76.7,63.7,62.1,81.6,Borderline,89.3,Pass,True,,Medium
1st Year,64.2,78.9,82.3,62.5,58.4,70.2,80.2,84.1,Borderline,98.4,Pass,True,,Medium
4th Year,64.8,74.5,63.7,81.0,63.5,65.7,72.2,81.8,Borderline,94.2,Pass,True,,High
2nd Year,96.9,93.9,95.4,85.9,86.1,80.7,75.6,58.4,Achievable target,70.6,Pass,True,,Low
4th Year,62.3,94.4,63.8,81.9,85.4,68.7,89.0,54.9,Achievable target,72.7,Pass,True,,Low
2nd Year,71.1,67.7,74.0,77.1,71.3,92.0,69.7,71.6,Achievable target,67.6,Fail,False,Underperformance,High
3rd Year,70.6,78.0,83.2,66.6,93.0,71.0,78.9,64.3,Achievable target,51.8,Fail,False,Underperformance,Medium
4th Year,68.4,68.1,73.5,67.5,97.0,77.9,81.1,59.3,Achievable target,65.5,Pass,True,,Low
2nd Year,73.2,75.1,79.2,81.2,99.4,69.5,77.2,53.9,Achievable target,61.5,Pass,True,,Low
1st Year,68.6,84.1,77.8,64.0,97.5,75.0,85.7,60.8,Achievable target,50.0,Fail,False,Underperformance,Medium
4th Year,63.2,74.3,61.0,61.7,81.8,65.6,69.3,95.7,Cannot pass,79.0,Fail,True,,High
3rd Year,75.6,66.7,57.8,77.3,84.2,70.5,61.9,79.0,Borderline,68.3,Fail,False,Ambiguity,High
1st Year,62.7,77.2,81.9,87.9,60.9,84.8,75.0,85.7,Borderline,83.7,Fail,False,Ambiguity,Medium
4th Year,77.5,67.1,71.2,75.3,75.2,58.3,70.2,78.0,Borderline,96.4,Pass,True,,High
3rd Year,66.9,62.8,64.2,72.8,85.9,72.0,58.7,75.6,Borderline,70.2,Fail,False,Ambiguity,High
4th Year,77.5,75.6,67.5,87.7,67.9,82.0,83.9,81.8,Borderline,63.8,Fail,False,Ambiguity,Medium
4th Year,87.0,65.3,80.0,70.3,64.4,63.1,72.4,65.3,Achievable target,75.0,Pass,True,,High
1st Year,81.7,80.1,54.0,63.3,70.8,70.5,60.3,97.0,Cannot pass,93.6,Fail,True,,High
2nd Year,80.6,77.6,84.6,58.5,62.8,58.5,62.8,75.1,Borderline,85.6,Pass,True,,High
4th Year,78.7,69.7,57.1,79.2,58.8,83.0,57.7,82.4,Borderline,100.0,Pass,True,,High
3rd Year,77.1,79.5,61.0,79.3,86.1,86.2,70.3,79.8,Borderline,95.1,Pass,True,,High
2nd Year,58.2,55.5,55.4,64.7,55.4,50.6,51.5,99.2,Cannot pass,96.8,Fail,True,,High
1st Year,71.9,65.1,88.8,87.1,70.4,70.5,68.3,75.5,Borderline,82.1,Pass,True,,High
2nd Year,53.3,67.9,53.2,53.3,65.4,62.4,53.9,88.1,Cannot pass,83.4,Fail,True,,High
1st Year,92.4,96.8,77.4,77.4,89.1,81.2,68.3,52.8,Achievable target,62.1,Pass,True,,High
1st Year,54.4,59.4,59.8,58.4,64.7,68.3,64.3,90.4,Cannot pass,87.5,Fail,True,,High
3rd Year,72.8,59.1,65.5,83.5,81.8,83.3,75.1,80.9,Borderline,71.8,Fail,False,Ambiguity,Medium
2nd Year,70.8,68.7,55.0,78.3,61.8,51.4,59.2,98.4,Cannot pass,80.0,Fail,True,,High
3rd Year,98.3,95.3,93.4,94.7,76.5,84.9,79.7,68.7,Achievable target,73.1,Pass,True,,Low
3rd Year,80.6,59.7,81.6,62.1,56.4,53.1,72.0,94.7,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,60.6,64.3,77.6,71.4,74.4,66.3,77.8,90.9,Cannot pass,84.9,Fail,True,,Medium
4th Year,83.1,85.3,89.6,74.7,62.5,81.3,92.0,57.7,Achievable target,62.2,Pass,True,,Low
3rd Year,78.2,71.5,75.2,86.3,75.1,74.5,64.2,73.9,Achievable target,82.6,Pass,True,,High
3rd Year,52.8,70.3,77.6,51.3,54.6,54.1,66.9,99.1,Cannot pass,89.7,Fail,True,,High
1st Year,82.3,81.5,65.1,62.3,68.8,80.3,77.9,84.3,Borderline,100.0,Pass,True,,Low
2nd Year,74.9,63.6,95.0,84.1,73.3,65.0,84.0,69.5,Achievable target,83.1,Pass,True,,Low
4th Year,96.7,90.6,87.0,86.7,96.4,89.9,80.3,60.8,Achievable target,68.7,Pass,True,,Low
2nd Year,86.5,64.9,67.4,96.2,95.6,90.6,75.4,70.4,Achievable target,53.6,Fail,False,Underperformance,High
1st Year,54.7,81.9,51.0,69.1,70.8,69.1,57.2,96.7,Cannot pass,91.5,Fail,True,,High
2nd Year,70.3,88.5,91.8,69.2,71.0,85.6,65.5,55.0,Achievable target,50.0,Fail,False,Underperformance,High
1st Year,75.5,69.8,89.3,72.3,71.3,69.3,66.4,79.6,Borderline,65.5,Fail,False,Ambiguity,High
2nd Year,71.8,56.4,62.3,54.7,67.7,70.4,59.9,90.0,Cannot pass,84.7,Fail,True,,High
2nd Year,58.6,74.8,60.6,56.0,73.3,63.1,50.9,99.5,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,62.3,65.7,75.1,50.2,79.8,68.1,76.6,97.8,Cannot pass,79.2,Fail,True,,Medium
1st Year,75.6,78.8,87.0,78.2,89.8,65.7,87.1,55.3,Achievable target,74.2,Pass,True,,Low
3rd Year,61.3,83.8,84.0,81.4,88.7,65.1,81.8,79.9,Borderline,91.1,Pass,True,,Low
4th Year,57.2,76.0,81.7,62.8,87.7,72.9,62.3,84.0,Borderline,88.7,Pass,True,,High
1st Year,79.6,60.7,60.5,81.4,58.8,81.3,80.9,77.0,Borderline,87.8,Pass,True,,Medium
2nd Year,70.2,52.0,80.2,56.6,71.9,53.6,55.9,93.4,Cannot pass,81.5,Fail,True,,High
2nd Year,50.8,50.0,61.2,61.7,78.3,75.6,74.7,89.7,Cannot pass,98.5,Pass,False,Overperformance,Medium
1st Year,73.9,87.2,71.0,74.3,94.7,70.3,91.0,58.0,Achievable target,56.5,Fail,False,Underperformance,Medium
3rd Year,55.5,66.2,53.6,70.0,78.0,60.2,54.7,92.8,Cannot pass,76.9,Fail,True,,High
2nd Year,65.8,82.4,79.8,74.4,66.2,91.5,68.1,55.0,Achievable target,58.8,Pass,True,,High
1st Year,78.9,71.5,78.3,87.6,72.7,89.5,71.9,55.2,Achievable target,74.3,Pass,True,,High
2nd Year,68.3,84.8,74.1,68.4,84.7,79.6,65.9,83.5,Borderline,75.5,Fail,False,Ambiguity,High
3rd Year,88.7,75.1,76.7,76.8,75.2,65.7,86.1,83.7,Borderline,97.5,Pass,True,,Low
2nd Year,59.2,52.1,61.2,55.6,71.2,74.6,58.5,92.0,Cannot pass,78.3,Fail,True,,High
1st Year,79.7,61.6,53.2,55.6,79.8,56.9,68.5,89.9,Cannot pass,85.2,Fail,True,,High
4th Year,54.7,50.6,66.0,77.6,60.4,53.6,77.5,96.1,Cannot pass,100.0,Pass,False,Overperformance,Medium
4th Year,88.5,76.6,74.3,89.2,89.2,90.6,79.5,57.7,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,63.7,75.3,68.7,50.3,68.2,67.7,75.6,93.0,Cannot pass,81.0,Fail,True,,Medium
2nd Year,67.0,52.2,78.7,79.1,67.5,65.6,51.6,95.2,Cannot pass,86.0,Fail,True,,High
2nd Year,63.8,89.0,72.9,86.8,85.8,69.6,75.8,71.7,Achievable target,59.2,Fail,False,Underperformance,Medium
1st Year,78.8,73.8,86.4,85.4,62.4,80.6,84.3,70.0,Achievable target,72.1,Pass,True,,Low
3rd Year,78.0,68.8,78.0,64.7,66.3,82.4,70.6,68.5,Achievable target,70.4,Pass,True,,High
3rd Year,62.5,75.5,75.1,62.0,69.9,56.4,66.3,89.0,Cannot pass,79.7,Fail,True,,High
1st Year,86.2,71.7,76.5,68.9,66.5,63.1,84.4,86.2,Borderline,89.7,Pass,True,,Low
4th Year,63.4,50.5,66.9,54.2,56.7,69.5,57.2,98.7,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,85.4,95.0,75.7,82.9,81.6,89.2,67.8,65.0,Achievable target,50.0,Fail,False,Underperformance,High
3rd Year,77.8,61.9,55.5,68.7,63.5,50.4,52.0,90.3,Cannot pass,74.7,Fail,True,,High
2nd Year,67.5,53.4,67.1,77.4,74.0,58.2,53.5,98.8,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,84.2,60.2,59.1,82.0,74.7,69.4,84.1,86.8,Borderline,88.8,Pass,True,,Low
2nd Year,74.7,67.6,81.5,72.0,53.3,55.6,73.1,100.0,Cannot pass,97.1,Fail,True,,Medium
4th Year,82.2,59.1,59.3,86.3,83.4,83.4,76.5,79.5,Borderline,97.7,Pass,True,,Medium
3rd Year,72.5,95.7,87.9,96.0,67.9,90.6,80.8,67.4,Achievable target,85.7,Pass,True,,Low
1st Year,80.7,78.1,83.0,86.6,79.4,59.0,62.5,88.4,Borderline,100.0,Pass,True,,High
2nd Year,58.2,69.6,82.1,81.8,59.8,75.3,61.3,81.9,Borderline,76.4,Fail,False,Ambiguity,High
4th Year,59.6,87.1,81.6,87.8,72.5,69.4,67.8,83.6,Borderline,91.3,Pass,True,,High
4th Year,75.6,78.0,57.8,66.9,57.2,51.1,69.8,94.6,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,99.8,99.8,79.7,94.9,71.3,84.4,88.5,71.2,Achievable target,87.6,Pass,True,,Low
3rd Year,76.2,72.1,54.2,53.7,74.7,67.5,64.5,98.9,Cannot pass,85.4,Fail,True,,High
1st Year,77.7,85.0,90.9,83.4,81.3,84.1,83.5,71.6,Achievable target,73.8,Pass,True,,Low
3rd Year,74.0,59.5,79.4,80.6,74.3,80.8,66.0,77.8,Borderline,70.2,Fail,False,Ambiguity,High
3rd Year,72.3,77.1,73.1,55.6,61.7,54.4,69.2,91.0,Cannot pass,80.0,Fail,True,,High
3rd Year,71.5,59.5,60.7,70.9,67.6,52.7,74.5,94.2,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,62.1,60.7,58.7,68.2,64.8,74.9,76.4,90.6,Cannot pass,87.7,Fail,True,,Medium
1st Year,81.8,77.6,50.8,58.0,51.4,73.0,66.3,94.2,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,84.9,63.2,86.5,89.9,87.6,72.6,87.0,68.6,Achievable target,72.0,Pass,True,,Low
2nd Year,86.2,73.0,66.5,67.9,68.3,76.9,80.6,54.6,Achievable target,69.1,Pass,True,,Low
1st Year,67.3,64.4,82.9,88.7,73.3,58.3,64.8,77.2,Borderline,94.2,Pass,True,,High
1st Year,98.7,84.4,81.7,94.2,63.0,85.5,66.4,71.9,Achievable target,82.9,Pass,True,,High
1st Year,93.7,63.0,67.3,92.3,79.7,88.6,81.4,66.2,Achievable target,72.8,Pass,True,,Low
4th Year,88.7,60.5,74.5,66.0,65.7,74.8,80.9,85.9,Borderline,100.0,Pass,True,,Low
4th Year,79.7,62.4,90.4,73.5,83.3,67.9,86.8,71.2,Achievable target,88.9,Pass,True,,Low
4th Year,89.8,65.2,67.2,65.2,65.8,73.6,64.2,80.5,Borderline,94.0,Pass,True,,Medium
4th Year,88.3,84.6,67.6,93.0,63.4,70.7,64.7,67.4,Achievable target,59.4,Fail,False,Underperformance,High
1st Year,68.5,72.0,72.1,58.5,71.2,76.2,73.4,76.1,Borderline,62.4,Fail,False,Ambiguity,High
1st Year,62.5,67.9,80.9,73.8,88.4,70.0,85.4,57.4,Achievable target,70.2,Pass,True,,Low
2nd Year,62.3,51.5,67.1,81.9,81.0,56.2,71.2,92.1,Cannot pass,96.2,Pass,False,Overperformance,High
3rd Year,73.5,74.8,84.3,68.1,79.0,68.0,58.3,80.3,Borderline,61.2,Fail,False,Ambiguity,High
1st Year,60.6,79.7,88.8,87.0,75.9,68.3,74.4,86.4,Borderline,100.0,Pass,True,,High
1st Year,79.3,66.5,83.6,67.9,64.3,77.5,82.0,72.2,Achievable target,56.3,Fail,False,Underperformance,High
4th Year,82.1,80.2,57.3,77.7,61.0,58.8,61.7,86.5,Borderline,71.4,Fail,False,Ambiguity,High
2nd Year,89.3,86.5,61.4,86.0,84.7,83.1,61.6,76.6,Borderline,58.1,Fail,False,Ambiguity,High
4th Year,69.2,72.0,61.1,57.7,89.8,83.3,84.4,79.0,Borderline,84.2,Pass,True,,Medium
4th Year,64.5,50.2,74.9,81.9,66.9,60.9,61.0,89.2,Cannot pass,83.1,Fail,True,,High
1st Year,63.8,67.4,77.2,57.2,50.9,51.1,53.8,94.8,Cannot pass,78.5,Fail,True,,High
1st Year,70.3,62.9,54.9,62.8,60.6,74.4,63.6,90.7,Cannot pass,97.2,Pass,False,Overperformance,High
1st Year,79.4,51.6,50.4,55.9,75.9,64.7,67.5,92.3,Cannot pass,90.0,Fail,True,,High
4th Year,56.1,51.1,68.3,52.7,53.1,72.4,63.8,90.9,Cannot pass,98.5,Pass,False,Overperformance,High
1st Year,52.1,53.7,69.7,69.4,81.1,60.5,51.8,94.5,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,67.7,56.3,77.0,76.7,63.7,77.1,77.4,89.6,Cannot pass,81.6,Fail,True,,Medium
3rd Year,65.2,76.5,71.9,98.2,77.6,85.1,74.2,53.4,Achievable target,70.8,Pass,True,,High
2nd Year,58.8,69.0,79.7,68.3,59.2,66.5,64.3,75.1,Borderline,86.2,Pass,True,,High
1st Year,59.2,70.5,73.2,58.4,60.5,56.9,76.8,90.3,Cannot pass,85.8,Fail,True,,Medium
3rd Year,69.2,68.0,65.6,86.3,85.3,81.9,85.4,58.5,Achievable target,76.9,Pass,True,,Low
1st Year,75.8,73.1,61.5,59.1,63.5,52.7,62.6,88.5,Cannot pass,89.6,Pass,False,Overperformance,High
2nd Year,79.7,75.5,68.3,75.8,86.4,76.6,75.1,81.4,Borderline,73.9,Fail,False,Ambiguity,High
1st Year,81.4,63.6,62.6,63.7,63.6,77.7,69.8,92.3,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,63.4,82.1,92.8,87.1,69.5,84.1,83.9,56.8,Achievable target,69.7,Pass,True,,Low
4th Year,76.9,54.4,56.2,65.6,51.4,61.6,72.1,89.8,Cannot pass,80.0,Fail,True,,High
3rd Year,66.2,65.9,67.9,56.0,54.7,69.0,61.1,91.5,Cannot pass,93.1,Pass,False,Overperformance,High
2nd Year,51.0,74.0,62.2,69.2,57.9,54.4,64.9,96.3,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,78.9,70.2,83.5,67.5,81.4,66.3,77.1,58.1,Achievable target,67.7,Pass,True,,Low
1st Year,87.0,73.2,84.0,64.4,68.6,59.3,69.6,84.4,Borderline,100.0,Pass,True,,High
4th Year,78.1,62.8,58.2,83.1,62.5,59.7,85.1,88.5,Borderline,100.0,Pass,True,,Medium
1st Year,76.7,56.6,63.7,61.4,79.2,75.8,68.2,89.3,Cannot pass,79.2,Fail,True,,High
4th Year,78.3,54.4,51.7,72.5,64.5,73.5,52.1,97.6,Cannot pass,95.9,Fail,True,,High
1st Year,72.2,64.3,76.6,57.9,58.2,78.8,63.3,84.2,Borderline,99.4,Pass,True,,Medium
3rd Year,82.4,65.9,69.9,59.9,84.7,73.8,72.1,88.6,Borderline,95.9,Pass,True,,High
4th Year,73.0,79.7,79.0,81.7,54.2,72.3,72.5,95.7,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,63.7,73.5,74.2,62.3,80.8,59.7,77.8,86.9,Borderline,79.2,Fail,False,Ambiguity,Medium
3rd Year,55.0,77.1,80.5,54.9,72.1,64.2,64.9,96.5,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,70.8,76.4,94.9,66.2,84.7,68.3,87.5,65.1,Achievable target,73.7,Pass,True,,Low
4th Year,71.4,88.6,73.8,72.5,81.6,68.4,69.8,79.7,Borderline,83.6,Pass,True,,High
3rd Year,95.2,96.4,95.5,79.2,72.8,81.5,90.7,68.9,Achievable target,58.5,Fail,False,Underperformance,Medium
2nd Year,82.5,87.3,82.2,71.3,66.0,72.0,66.8,88.2,Borderline,77.5,Fail,False,Ambiguity,High
1st Year,61.1,70.5,66.6,54.1,77.8,60.1,62.1,90.5,Cannot pass,79.0,Fail,True,,High
2nd Year,78.2,51.7,81.1,72.5,59.1,55.7,58.3,98.5,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,88.8,95.1,87.0,90.6,68.6,88.4,71.0,53.3,Achievable target,72.9,Pass,True,,High
4th Year,54.4,70.0,60.2,54.3,69.2,71.3,72.2,89.9,Cannot pass,78.3,Fail,True,,High
3rd Year,55.2,56.6,50.1,66.8,56.2,70.3,76.9,90.5,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,50.6,74.3,63.9,80.3,67.1,54.4,62.6,90.4,Cannot pass,72.8,Fail,True,,High
4th Year,60.9,66.9,71.4,75.1,52.6,50.6,53.2,92.7,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,70.6,71.6,60.6,87.2,76.8,68.7,72.2,79.4,Borderline,96.6,Pass,True,,High
1st Year,80.8,96.6,93.8,92.9,70.6,67.4,83.0,62.2,Achievable target,76.2,Pass,True,,Low
3rd Year,66.7,66.4,73.2,66.0,79.0,79.4,71.2,85.1,Borderline,74.4,Fail,False,Ambiguity,High
4th Year,64.4,81.4,80.6,65.8,75.3,82.7,64.5,85.3,Borderline,66.2,Fail,False,Ambiguity,High
2nd Year,77.3,85.1,99.7,83.6,66.4,64.3,85.9,61.0,Achievable target,55.3,Fail,False,Underperformance,Medium
4th Year,74.2,64.9,77.8,73.5,81.2,74.9,57.1,95.9,Cannot pass,94.5,Fail,True,,High
