class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type
1st Year,63.7,70.1,68.8,66.3,71.1,62.8,67.9,92.4,Cannot pass,90.3,Fail,True,None
4th Year,97.8,88.8,79.8,84.7,78.3,85.7,77.2,53.3,Achievable target,53.6,Pass,True,None
2nd Year,80.0,64.8,86.6,83.2,91.0,74.7,81.4,62.6,Achievable target,81.2,Pass,True,None
1st Year,77.1,73.9,63.1,92.9,80.2,81.3,80.6,57.2,Achievable target,85.6,Pass,True,None
1st Year,98.2,92.7,79.3,82.7,97.4,80.8,70.1,58.6,Achievable target,86.8,Pass,True,None
1st Year,63.7,83.8,84.5,79.3,61.2,80.9,88.0,72.6,Achievable target,77.1,Pass,True,None
4th Year,68.6,66.7,68.8,67.4,61.0,62.5,64.8,93.9,Cannot pass,90.6,Fail,True,None
4th Year,90.5,98.2,90.8,60.7,62.7,77.3,83.7,56.3,Achievable target,58.0,Pass,True,None
1st Year,85.9,73.1,95.8,98.2,70.7,70.2,72.8,67.6,Achievable target,79.7,Pass,True,None
4th Year,68.8,78.7,71.7,60.3,69.7,76.6,70.2,77.1,Borderline,96.7,Pass,True,None
3rd Year,84.2,89.0,69.5,69.2,87.4,69.6,72.0,76.3,Borderline,60.6,Fail,False,Ambiguity
3rd Year,67.4,73.0,62.8,70.5,64.1,66.3,67.4,96.2,Cannot pass,98.9,Pass,False,Underperformance
4th Year,67.7,88.8,83.7,79.6,62.5,84.7,72.8,63.0,Achievable target,74.4,Pass,True,None
2nd Year,60.5,80.0,89.0,79.7,97.0,73.1,73.8,72.6,Achievable target,99.2,Pass,True,None
1st Year,60.2,67.1,65.6,68.0,63.9,63.8,71.3,97.5,Cannot pass,84.4,Fail,True,None
3rd Year,94.0,87.1,98.3,99.0,75.8,73.9,71.7,61.8,Achievable target,84.8,Pass,True,None
3rd Year,83.8,91.5,67.1,78.2,83.2,82.2,83.8,72.4,Achievable target,75.0,Pass,True,None
3rd Year,93.0,61.1,61.8,85.7,83.1,86.9,81.3,65.6,Achievable target,92.0,Pass,True,None
2nd Year,78.4,78.4,83.5,61.1,64.7,85.1,89.2,51.6,Achievable target,82.3,Pass,True,None
3rd Year,79.9,92.3,84.3,79.7,68.7,70.2,80.0,65.8,Achievable target,81.3,Pass,True,None
4th Year,69.7,70.6,69.2,93.4,93.5,84.7,74.7,58.5,Achievable target,90.8,Pass,True,None
1st Year,80.6,68.3,74.0,72.7,65.7,70.3,82.5,66.9,Achievable target,76.3,Pass,True,None
2nd Year,95.2,74.8,66.3,93.3,88.1,88.7,87.6,64.7,Achievable target,99.5,Pass,True,None
1st Year,81.6,77.1,88.4,81.8,81.4,73.9,65.9,81.9,Borderline,72.4,Fail,False,Ambiguity
1st Year,61.7,71.2,77.5,73.2,74.7,63.2,63.6,92.1,Cannot pass,53.3,Fail,True,None
4th Year,85.9,70.3,80.6,84.7,65.8,73.7,66.2,76.5,Borderline,81.9,Pass,True,None
1st Year,71.9,73.5,69.1,66.4,63.5,61.8,60.1,97.3,Cannot pass,63.2,Fail,True,None
1st Year,84.4,94.3,64.1,82.5,80.3,89.5,85.6,54.0,Achievable target,59.4,Pass,True,None
4th Year,91.6,95.4,72.6,72.4,75.9,70.7,74.0,69.6,Achievable target,84.0,Pass,True,None
3rd Year,68.0,79.2,86.6,70.6,76.8,88.0,73.2,63.2,Achievable target,60.5,Fail,False,Overperformance
4th Year,61.7,92.5,98.4,84.8,86.1,89.2,81.1,54.0,Achievable target,56.8,Pass,True,None
4th Year,69.9,70.8,81.3,87.4,76.3,77.6,89.3,57.9,Achievable target,50.7,Fail,False,Overperformance
2nd Year,88.3,64.8,94.3,65.2,86.3,89.0,82.8,71.6,Achievable target,87.7,Pass,True,None
4th Year,72.0,61.9,76.8,91.8,78.3,72.2,75.8,52.7,Achievable target,95.5,Pass,True,None
2nd Year,94.0,84.0,64.8,99.4,91.3,72.0,85.4,58.3,Achievable target,76.2,Pass,True,None
3rd Year,94.3,87.4,98.9,69.1,72.0,76.2,86.9,67.8,Achievable target,92.7,Pass,True,None
4th Year,92.2,73.2,73.4,92.6,94.4,76.6,82.4,73.4,Achievable target,77.0,Pass,True,None
3rd Year,92.8,71.3,71.9,83.5,100.0,88.7,80.2,61.8,Achievable target,67.5,Pass,True,None
1st Year,75.8,65.3,63.3,82.9,62.0,74.4,75.8,59.6,Achievable target,63.0,Pass,True,None
1st Year,64.2,77.5,86.3,63.4,65.7,90.0,79.8,59.6,Achievable target,83.5,Pass,True,None
4th Year,83.2,63.4,62.4,61.3,72.5,85.3,82.5,70.3,Achievable target,72.2,Pass,True,None
2nd Year,64.6,78.0,74.5,81.0,75.4,84.4,72.5,69.0,Achievable target,84.9,Pass,True,None
2nd Year,71.9,70.6,69.9,68.7,73.6,63.5,64.8,96.5,Cannot pass,94.5,Fail,True,None
3rd Year,99.2,81.7,71.4,67.3,90.7,77.6,71.8,53.7,Achievable target,97.8,Pass,True,None
4th Year,71.8,85.9,63.6,79.2,72.2,89.0,72.7,66.9,Achievable target,95.3,Pass,True,None
1st Year,70.2,74.3,74.0,70.3,71.2,61.5,67.0,99.7,Cannot pass,56.8,Fail,True,None
2nd Year,76.0,60.8,68.3,75.5,76.1,74.8,85.4,65.5,Achievable target,98.4,Pass,True,None
4th Year,72.9,77.9,72.4,60.9,78.1,60.1,63.6,99.6,Cannot pass,73.2,Fail,True,None
2nd Year,78.1,68.4,90.9,83.1,66.3,76.3,71.2,68.8,Achievable target,93.1,Pass,True,None
2nd Year,70.6,65.1,76.8,64.5,62.5,81.8,70.3,60.8,Achievable target,75.0,Pass,True,None
2nd Year,98.4,90.2,72.4,95.4,91.0,76.2,78.7,53.5,Achievable target,67.9,Pass,True,None
1st Year,75.9,86.0,70.0,64.5,89.4,81.5,80.6,62.0,Achievable target,76.7,Pass,True,None
3rd Year,88.1,87.3,62.9,85.4,81.4,77.1,83.4,55.9,Achievable target,76.3,Pass,True,None
4th Year,85.5,88.1,63.3,93.8,85.8,77.5,79.5,58.0,Achievable target,99.0,Pass,True,None
4th Year,65.5,78.7,72.5,72.8,71.6,69.2,67.9,91.1,Cannot pass,68.8,Fail,True,None
3rd Year,68.9,84.6,76.3,65.4,70.7,68.3,69.4,75.2,Borderline,83.3,Pass,True,None
4th Year,93.4,80.7,75.1,96.3,80.7,77.3,83.1,58.5,Achievable target,94.5,Pass,True,None
2nd Year,94.7,67.2,66.7,80.3,70.9,72.5,71.9,71.4,Achievable target,88.2,Pass,True,None
2nd Year,95.7,81.6,62.0,61.2,96.1,73.4,76.2,51.2,Achievable target,69.9,Pass,True,None
2nd Year,69.5,91.4,92.0,71.5,86.6,84.8,81.2,72.2,Achievable target,83.0,Pass,True,None
1st Year,77.9,63.1,74.7,77.4,62.6,60.5,60.3,94.3,Cannot pass,99.1,Pass,False,Underperformance
2nd Year,74.7,75.3,82.7,84.2,87.2,71.3,85.6,72.8,Achievable target,82.9,Pass,True,None
1st Year,83.2,90.2,92.4,90.3,86.4,74.4,72.8,60.9,Achievable target,72.3,Pass,True,None
2nd Year,64.8,70.2,74.0,64.0,69.6,61.7,68.9,93.0,Cannot pass,54.3,Fail,True,None
4th Year,66.8,71.7,63.3,93.8,72.3,74.0,70.5,59.5,Achievable target,79.3,Pass,True,None
4th Year,72.7,64.9,80.5,85.0,73.9,65.5,77.5,76.2,Borderline,67.9,Fail,True,None
2nd Year,93.2,82.2,83.5,92.5,69.3,85.7,74.1,68.6,Achievable target,93.4,Pass,True,None
3rd Year,60.3,68.0,82.6,72.2,84.9,76.5,81.1,61.1,Achievable target,84.1,Pass,True,None
1st Year,88.8,63.0,70.8,69.3,62.0,69.9,70.5,88.2,Borderline,74.8,Fail,True,None
3rd Year,69.2,76.6,66.0,66.7,70.4,68.0,63.0,96.7,Cannot pass,90.3,Fail,True,None
3rd Year,92.9,60.5,80.7,74.9,79.4,71.9,81.6,58.2,Achievable target,96.3,Pass,True,None
1st Year,60.5,87.4,62.1,93.2,77.2,72.5,76.9,64.3,Achievable target,50.1,Fail,False,Overperformance
4th Year,88.2,77.9,60.2,63.2,70.2,83.9,72.8,70.0,Achievable target,86.5,Pass,True,None
4th Year,86.8,94.3,73.2,87.7,71.5,77.0,76.7,72.7,Achievable target,94.9,Pass,True,None
2nd Year,60.3,75.6,64.2,74.1,61.2,76.0,67.3,83.3,Borderline,57.0,Fail,True,None
1st Year,62.6,74.5,62.1,69.9,64.5,70.7,65.7,93.6,Cannot pass,70.8,Fail,True,None
2nd Year,60.8,78.1,85.3,83.4,76.2,67.7,67.4,88.4,Borderline,92.2,Pass,True,None
4th Year,73.7,78.5,87.6,87.1,88.0,76.6,69.5,86.5,Borderline,94.2,Pass,True,None
3rd Year,93.8,82.4,73.9,74.6,85.2,87.8,85.2,52.8,Achievable target,51.2,Fail,False,Overperformance
2nd Year,82.4,88.6,88.1,76.8,78.0,74.7,82.0,56.7,Achievable target,94.3,Pass,True,None
2nd Year,72.0,92.6,96.5,66.4,60.9,87.1,84.5,59.4,Achievable target,53.9,Fail,False,Overperformance
1st Year,62.8,61.7,73.8,62.5,65.5,70.8,60.4,92.1,Cannot pass,53.9,Fail,True,None
2nd Year,90.0,86.7,65.2,68.0,84.2,82.4,75.6,52.4,Achievable target,72.2,Pass,True,None
1st Year,93.1,68.4,89.3,92.4,88.0,89.6,76.7,51.3,Achievable target,51.0,Fail,False,Overperformance
1st Year,66.3,77.2,65.5,77.1,73.1,65.3,68.5,97.4,Cannot pass,98.3,Pass,False,Underperformance
1st Year,99.3,66.6,62.5,90.4,86.4,71.7,76.3,65.4,Achievable target,96.6,Pass,True,None
1st Year,80.8,77.7,71.1,99.9,77.4,85.3,73.5,69.5,Achievable target,99.1,Pass,True,None
1st Year,88.7,71.7,60.1,74.1,82.8,82.6,81.5,54.5,Achievable target,84.9,Pass,True,None
3rd Year,63.4,65.4,72.7,82.8,86.1,76.0,77.6,76.1,Borderline,76.3,Pass,True,None
1st Year,82.9,70.8,80.2,87.1,72.7,72.5,66.5,80.5,Borderline,95.0,Pass,False,Ambiguity
2nd Year,71.5,64.8,70.6,65.5,77.7,61.4,70.7,97.0,Cannot pass,69.0,Fail,True,None
4th Year,90.4,69.9,66.1,80.4,70.0,75.8,79.7,68.4,Achievable target,65.8,Fail,False,Overperformance
2nd Year,68.6,65.4,82.1,83.7,71.1,72.8,87.1,67.5,Achievable target,57.3,Fail,False,Overperformance
1st Year,76.7,81.4,94.7,79.0,95.3,86.8,86.4,61.4,Achievable target,64.4,Pass,True,None
2nd Year,63.6,80.0,67.2,83.4,95.8,79.3,82.9,63.1,Achievable target,77.6,Pass,True,None
3rd Year,66.5,78.2,97.8,87.1,97.6,75.2,83.0,53.4,Achievable target,50.7,Fail,False,Overperformance
1st Year,62.2,94.4,66.7,66.3,90.9,79.9,80.2,71.5,Achievable target,90.7,Pass,True,None
1st Year,80.3,74.1,84.1,92.5,89.5,86.5,84.0,60.9,Achievable target,62.0,Pass,True,None
2nd Year,73.6,76.2,80.2,69.9,77.1,77.8,67.8,87.3,Borderline,99.3,Pass,False,Ambiguity
4th Year,70.5,62.8,77.5,68.4,60.2,65.9,67.5,91.3,Cannot pass,100.0,Pass,False,Underperformance
3rd Year,76.3,62.8,89.3,84.9,63.6,70.5,65.3,85.0,Borderline,54.4,Fail,True,None
2nd Year,67.6,79.0,74.9,68.0,61.1,63.3,61.1,94.0,Cannot pass,86.1,Fail,True,None
4th Year,73.9,70.1,73.7,67.2,67.1,61.2,66.3,94.7,Cannot pass,92.9,Fail,True,None
4th Year,91.6,69.9,85.8,69.9,84.0,77.0,78.6,67.3,Achievable target,76.6,Pass,True,None
1st Year,76.7,63.1,90.7,87.1,95.5,80.5,81.4,50.6,Achievable target,84.3,Pass,True,None
1st Year,61.8,84.3,84.8,81.8,61.2,70.7,75.8,80.6,Borderline,98.6,Pass,True,None
2nd Year,94.5,81.1,85.6,83.9,84.5,79.2,75.2,64.1,Achievable target,76.6,Pass,True,None
1st Year,77.9,61.9,69.9,67.2,76.8,61.3,63.4,94.0,Cannot pass,71.6,Fail,True,None
3rd Year,66.0,84.6,87.8,86.8,81.4,71.9,73.5,83.1,Borderline,56.2,Fail,True,None
1st Year,77.6,80.9,66.3,74.9,71.3,75.0,78.8,59.8,Achievable target,73.4,Pass,True,None
4th Year,91.5,86.0,63.1,61.2,93.3,85.2,80.8,66.1,Achievable target,88.9,Pass,True,None
4th Year,82.7,83.3,98.6,64.0,64.2,72.3,73.0,68.7,Achievable target,93.3,Pass,True,None
3rd Year,97.0,61.6,64.0,93.9,84.5,81.1,78.8,68.7,Achievable target,69.2,Pass,True,None
2nd Year,65.5,70.2,73.1,60.3,89.9,76.0,74.2,54.2,Achievable target,71.6,Pass,True,None
1st Year,75.6,74.1,71.6,83.5,88.7,73.9,70.3,87.4,Borderline,70.0,Fail,True,None
4th Year,76.2,64.4,61.7,67.2,64.1,66.3,69.3,98.5,Cannot pass,67.5,Fail,True,None
4th Year,80.2,60.9,84.0,87.9,65.2,78.4,88.6,51.1,Achievable target,50.6,Fail,False,Overperformance
4th Year,61.5,70.4,95.8,81.6,86.2,85.4,74.3,53.6,Achievable target,71.8,Pass,True,None
3rd Year,77.8,62.0,82.7,64.2,74.4,67.7,74.5,77.2,Borderline,76.3,Fail,True,None
4th Year,80.2,98.6,60.2,89.4,82.1,79.1,81.8,60.4,Achievable target,83.6,Pass,True,None
3rd Year,84.4,65.1,63.9,74.9,99.5,86.5,82.5,63.4,Achievable target,76.8,Pass,True,None
4th Year,72.9,99.0,89.3,77.5,85.6,81.7,76.7,61.7,Achievable target,73.9,Pass,True,None
1st Year,88.1,80.9,93.2,93.4,70.5,89.6,76.5,63.1,Achievable target,69.5,Pass,True,None
1st Year,92.5,60.9,62.6,96.1,77.7,81.6,75.2,53.1,Achievable target,95.5,Pass,True,None
3rd Year,62.7,69.6,86.3,64.1,83.3,84.9,77.1,68.2,Achievable target,72.4,Pass,True,None
3rd Year,60.0,62.9,77.7,66.0,61.6,65.5,62.0,92.4,Cannot pass,93.9,Pass,False,Underperformance
4th Year,67.3,82.7,75.7,97.8,69.6,79.2,88.2,70.9,Achievable target,78.9,Pass,True,None
2nd Year,74.4,75.7,69.6,61.3,71.6,63.8,64.7,99.6,Cannot pass,63.8,Fail,True,None
4th Year,76.7,64.6,60.8,73.0,92.1,81.5,84.2,64.8,Achievable target,94.1,Pass,True,None
1st Year,63.0,63.6,74.9,75.0,74.0,66.8,69.8,93.1,Cannot pass,67.7,Fail,True,None
2nd Year,60.8,71.2,96.9,74.3,63.6,78.9,74.4,64.7,Achievable target,75.4,Pass,True,None
1st Year,71.1,75.5,60.1,63.2,62.0,68.7,61.8,95.5,Cannot pass,97.3,Pass,False,Underperformance
1st Year,74.8,64.9,76.4,60.2,77.1,67.4,67.7,93.0,Cannot pass,56.8,Fail,True,None
4th Year,86.3,92.2,71.4,61.3,84.0,78.8,74.0,62.4,Achievable target,71.1,Pass,True,None
4th Year,63.1,89.9,78.1,78.0,70.9,74.9,67.9,87.2,Borderline,95.7,Pass,False,Ambiguity
3rd Year,79.2,67.1,75.9,72.8,89.4,82.1,83.9,65.2,Achievable target,98.9,Pass,True,None
1st Year,65.9,94.2,74.8,74.9,71.4,88.2,77.2,58.4,Achievable target,99.1,Pass,True,None
3rd Year,80.5,89.0,97.4,96.2,94.7,70.7,78.0,55.6,Achievable target,58.3,Pass,True,None
4th Year,96.6,76.6,82.2,88.4,90.2,71.8,78.2,53.3,Achievable target,62.0,Pass,True,None
3rd Year,60.3,62.2,61.2,72.8,72.1,65.3,67.7,91.8,Cannot pass,56.7,Fail,True,None
4th Year,71.1,91.4,65.8,79.0,74.7,79.5,74.9,57.4,Achievable target,84.9,Pass,True,None
4th Year,77.6,65.4,64.1,75.7,67.0,61.2,68.8,93.0,Cannot pass,75.6,Fail,True,None
3rd Year,65.1,74.7,92.4,83.4,90.6,71.2,81.8,65.0,Achievable target,78.3,Pass,True,None
3rd Year,71.1,62.5,75.5,99.8,70.3,75.1,85.6,69.5,Achievable target,74.9,Pass,True,None
2nd Year,68.5,80.5,72.5,73.6,85.4,80.4,80.8,50.6,Achievable target,94.6,Pass,True,None
3rd Year,70.5,75.3,62.3,63.5,68.6,64.2,66.5,91.9,Cannot pass,74.9,Fail,True,None
3rd Year,73.4,69.8,72.6,72.0,70.9,70.1,70.5,93.0,Cannot pass,59.4,Fail,True,None
1st Year,61.8,94.5,69.8,78.9,75.3,74.6,80.2,53.6,Achievable target,96.8,Pass,True,None
4th Year,63.0,66.4,71.3,68.1,60.1,63.7,64.1,96.9,Cannot pass,99.2,Pass,False,Underperformance
3rd Year,67.4,95.4,74.8,77.8,70.5,71.8,80.9,61.2,Achievable target,70.0,Pass,True,None
3rd Year,72.1,68.6,71.3,67.5,72.7,69.8,67.5,90.7,Cannot pass,56.8,Fail,True,None
1st Year,70.4,63.6,74.7,97.9,64.7,78.0,78.6,67.2,Achievable target,81.5,Pass,True,None
4th Year,82.6,82.7,94.0,87.1,81.6,88.6,76.0,59.2,Achievable target,89.4,Pass,True,None
2nd Year,64.6,88.3,78.3,85.7,68.4,76.0,74.8,88.4,Borderline,86.3,Fail,True,None
2nd Year,66.3,73.1,70.2,79.6,72.8,66.8,67.4,79.0,Borderline,87.1,Pass,True,None
4th Year,86.3,88.5,77.5,78.8,71.2,79.2,71.7,53.9,Achievable target,92.6,Pass,True,None
1st Year,97.7,88.5,88.4,71.0,95.8,74.5,82.2,70.4,Achievable target,84.0,Pass,True,None
1st Year,98.0,93.5,66.2,63.2,93.2,77.9,81.8,65.8,Achievable target,81.3,Pass,True,None
3rd Year,82.3,92.4,73.8,76.5,74.0,75.2,77.2,66.3,Achievable target,86.7,Pass,True,None
4th Year,90.8,89.9,94.0,97.1,85.4,88.6,72.4,65.2,Achievable target,67.1,Pass,True,None
1st Year,76.9,72.5,65.2,71.1,79.0,67.6,69.4,92.1,Cannot pass,53.9,Fail,True,None
2nd Year,96.2,92.8,63.9,84.4,93.4,70.3,82.7,51.5,Achievable target,91.1,Pass,True,None
4th Year,71.3,75.6,87.8,71.5,78.0,72.3,75.9,83.3,Borderline,76.3,Fail,False,Ambiguity
3rd Year,60.1,85.2,75.7,96.9,97.2,79.7,75.3,73.0,Achievable target,61.8,Fail,False,Overperformance
3rd Year,94.9,97.6,76.9,96.6,62.1,83.4,78.2,56.9,Achievable target,70.4,Pass,True,None
3rd Year,75.9,98.7,93.0,79.8,72.9,87.0,85.9,56.8,Achievable target,80.4,Pass,True,None
1st Year,71.5,88.5,90.7,76.9,76.1,89.0,78.0,65.4,Achievable target,84.0,Pass,True,None
3rd Year,82.7,65.5,60.2,86.8,75.3,73.1,66.4,81.9,Borderline,55.7,Fail,True,None
2nd Year,74.2,72.1,99.8,99.1,71.0,70.4,83.7,51.5,Achievable target,64.0,Pass,True,None
1st Year,67.2,71.8,64.1,73.1,71.8,78.6,89.9,60.7,Achievable target,88.9,Pass,True,None
1st Year,82.1,94.3,80.8,96.7,60.5,71.7,81.1,66.8,Achievable target,86.3,Pass,True,None
4th Year,64.5,77.6,67.7,77.7,76.5,61.8,67.9,91.2,Cannot pass,57.0,Fail,True,None
1st Year,93.9,62.3,60.2,78.4,71.9,88.7,87.8,52.6,Achievable target,50.9,Fail,False,Overperformance
2nd Year,75.2,72.2,71.3,82.5,79.2,81.1,73.5,58.0,Achievable target,88.0,Pass,True,None
2nd Year,75.9,71.1,62.8,90.9,74.0,74.5,83.2,62.2,Achievable target,87.9,Pass,True,None
4th Year,78.8,86.5,62.6,80.3,90.1,74.2,71.6,65.5,Achievable target,83.1,Pass,True,None
1st Year,90.7,77.9,85.1,64.7,65.3,78.4,76.2,54.9,Achievable target,83.0,Pass,True,None
1st Year,96.2,81.8,93.4,83.3,65.9,71.5,87.7,53.1,Achievable target,67.6,Pass,True,None
4th Year,60.5,72.6,73.8,60.7,75.0,60.5,63.4,98.1,Cannot pass,68.1,Fail,True,None
1st Year,72.4,69.9,71.4,85.1,65.3,83.1,87.7,70.1,Achievable target,71.0,Pass,True,None
2nd Year,71.0,74.9,65.4,70.3,64.2,64.1,71.6,92.3,Cannot pass,94.3,Pass,False,Underperformance
2nd Year,93.1,92.0,67.9,76.6,67.3,75.2,83.7,71.0,Achievable target,98.4,Pass,True,None
3rd Year,99.7,79.6,74.2,97.6,77.3,70.6,75.5,66.3,Achievable target,88.6,Pass,True,None
2nd Year,79.1,82.5,76.9,90.3,92.4,79.8,87.7,64.7,Achievable target,80.0,Pass,True,None
1st Year,78.6,65.3,92.5,96.8,78.7,89.5,85.1,60.9,Achievable target,87.7,Pass,True,None
4th Year,78.7,74.5,90.4,95.4,69.0,75.5,83.6,56.7,Achievable target,74.9,Pass,True,None
2nd Year,71.6,70.7,94.3,99.4,87.2,76.5,84.1,52.3,Achievable target,98.2,Pass,True,None
3rd Year,87.8,84.5,64.4,89.2,85.2,80.5,80.5,73.7,Achievable target,86.4,Pass,True,None
2nd Year,78.8,86.7,89.4,82.4,81.2,76.0,72.6,88.7,Borderline,97.8,Pass,False,Ambiguity
4th Year,86.8,63.6,78.5,92.7,75.3,85.5,89.8,65.2,Achievable target,56.7,Fail,False,Overperformance
1st Year,72.2,88.2,84.1,68.6,94.3,71.8,86.2,53.6,Achievable target,86.6,Pass,True,None
2nd Year,76.9,65.4,95.7,85.2,81.4,79.5,70.2,57.6,Achievable target,78.2,Pass,True,None
2nd Year,74.5,71.2,96.2,88.3,68.4,74.7,79.9,54.7,Achievable target,91.9,Pass,True,None
1st Year,61.7,72.1,60.4,63.9,65.0,79.4,88.2,64.4,Achievable target,85.3,Pass,True,None
4th Year,65.2,66.4,67.8,68.8,68.0,60.7,69.3,99.1,Cannot pass,63.1,Fail,True,None
2nd Year,73.7,87.3,61.9,64.0,91.4,81.3,79.7,61.0,Achievable target,65.8,Pass,True,None
4th Year,88.9,88.8,98.9,90.5,80.3,73.2,70.1,52.6,Achievable target,82.2,Pass,True,None
2nd Year,93.0,63.7,68.5,85.6,98.8,89.4,89.0,51.2,Achievable target,67.5,Pass,True,None
3rd Year,73.2,64.4,76.7,72.3,96.0,79.5,70.3,70.9,Achievable target,89.2,Pass,True,None
3rd Year,67.7,74.9,86.3,92.8,84.2,89.9,83.9,60.1,Achievable target,51.5,Fail,False,Overperformance
3rd Year,73.5,77.2,74.8,95.6,100.0,88.6,79.5,69.6,Achievable target,68.3,Fail,False,Overperformance
4th Year,88.2,71.9,84.6,63.4,65.4,82.3,86.3,52.8,Achievable target,67.2,Pass,True,None
1st Year,69.4,96.7,83.0,83.1,90.9,72.8,89.9,69.6,Achievable target,76.8,Pass,True,None
1st Year,63.7,83.0,63.4,71.4,97.2,71.5,74.8,69.4,Achievable target,50.2,Fail,False,Overperformance
4th Year,84.8,73.5,87.7,65.3,68.7,71.4,71.0,82.5,Borderline,60.8,Fail,True,None
4th Year,70.3,69.3,66.7,68.3,83.3,65.2,77.3,86.0,Borderline,95.1,Pass,True,None
3rd Year,93.0,79.3,92.3,89.9,73.5,86.6,75.1,52.8,Achievable target,98.2,Pass,True,None
3rd Year,63.4,66.5,67.7,71.5,65.7,65.1,61.5,96.5,Cannot pass,89.7,Fail,True,None
4th Year,62.9,82.9,70.0,77.8,95.9,84.3,72.1,53.6,Achievable target,83.3,Pass,True,None
2nd Year,69.3,85.5,78.4,86.7,96.0,80.0,81.7,61.2,Achievable target,72.4,Pass,True,None
2nd Year,66.8,62.4,68.2,70.1,63.0,67.3,69.6,95.0,Cannot pass,89.6,Fail,True,None
1st Year,63.3,61.5,70.3,70.6,67.8,70.0,60.3,94.3,Cannot pass,55.6,Fail,True,None
4th Year,64.4,67.9,84.8,82.6,63.4,70.6,66.6,77.4,Borderline,61.3,Fail,True,None
4th Year,96.0,80.7,67.6,76.9,93.2,78.0,81.7,56.1,Achievable target,51.8,Fail,False,Overperformance
1st Year,65.7,64.7,61.8,65.1,94.9,76.3,80.6,70.0,Achievable target,92.4,Pass,True,None
4th Year,63.5,86.8,67.4,65.6,72.9,86.5,80.3,56.0,Achievable target,67.5,Pass,True,None
1st Year,95.9,72.4,89.5,90.3,84.8,74.7,82.3,51.4,Achievable target,69.6,Pass,True,None
2nd Year,63.8,90.1,81.7,94.9,93.1,85.3,73.7,66.4,Achievable target,76.5,Pass,True,None
4th Year,64.3,76.4,63.8,62.1,64.2,60.7,60.2,95.9,Cannot pass,74.2,Fail,True,None
2nd Year,77.4,60.6,91.8,83.4,75.8,89.5,74.7,55.8,Achievable target,98.6,Pass,True,None
4th Year,78.1,69.9,87.6,64.8,73.9,71.5,66.4,88.5,Borderline,88.6,Pass,True,None
4th Year,87.2,100.0,93.7,68.5,93.6,75.5,75.0,56.8,Achievable target,63.8,Pass,True,None
3rd Year,76.2,74.7,64.7,78.0,63.5,69.1,71.8,98.9,Cannot pass,86.9,Fail,True,None
1st Year,77.2,74.5,64.5,61.8,74.5,61.7,71.9,98.1,Cannot pass,89.2,Fail,True,None
2nd Year,72.6,77.7,67.5,70.5,66.8,70.1,67.1,88.3,Borderline,89.9,Pass,True,None
1st Year,68.8,92.2,77.0,92.5,99.3,79.9,86.0,66.3,Achievable target,77.2,Pass,True,None
1st Year,69.6,84.8,70.1,74.2,91.8,88.4,80.5,51.9,Achievable target,98.0,Pass,True,None
1st Year,95.6,65.8,97.1,78.2,75.5,79.4,79.7,53.3,Achievable target,86.9,Pass,True,None
2nd Year,75.7,71.3,87.8,79.5,86.1,72.6,71.5,81.7,Borderline,65.3,Fail,True,None
1st Year,97.1,64.2,91.5,72.1,63.5,84.0,71.5,68.4,Achievable target,82.2,Pass,True,None
2nd Year,96.9,73.5,64.5,79.2,61.6,86.0,84.6,66.3,Achievable target,70.2,Pass,True,None
1st Year,93.3,79.9,88.7,80.4,70.9,79.2,72.3,70.0,Achievable target,99.4,Pass,True,None
4th Year,70.1,66.2,76.9,75.1,78.0,72.8,76.1,64.4,Achievable target,85.1,Pass,True,None
3rd Year,65.3,61.0,99.4,84.7,84.2,73.0,73.8,64.7,Achievable target,85.8,Pass,True,None
1st Year,68.6,80.2,88.3,74.7,83.6,89.5,72.0,60.6,Achievable target,98.3,Pass,True,None
3rd Year,89.8,82.0,64.9,79.2,72.0,73.2,84.6,58.7,Achievable target,60.9,Pass,True,None
1st Year,87.1,66.6,99.4,69.8,67.0,87.0,83.0,53.8,Achievable target,79.7,Pass,True,None
1st Year,89.7,89.9,90.2,96.6,87.8,74.2,73.8,66.9,Achievable target,80.0,Pass,True,None
2nd Year,87.5,79.1,80.1,84.2,88.5,83.7,77.2,59.0,Achievable target,93.9,Pass,True,None
3rd Year,79.0,99.0,81.6,70.9,77.8,87.2,76.5,73.3,Achievable target,91.9,Pass,True,None
2nd Year,92.2,92.9,78.9,84.0,63.5,77.8,82.7,56.3,Achievable target,72.5,Pass,True,None
3rd Year,99.7,87.8,86.7,75.1,96.2,81.0,82.5,62.6,Achievable target,72.2,Pass,True,None
2nd Year,80.0,86.4,74.2,69.0,77.0,76.1,84.8,68.1,Achievable target,92.4,Pass,True,None
4th Year,72.7,82.3,63.5,84.2,87.2,70.5,65.7,82.0,Borderline,74.9,Fail,True,None
2nd Year,81.7,78.2,91.0,80.2,89.3,79.0,86.4,71.2,Achievable target,89.0,Pass,True,None
1st Year,65.5,88.1,67.4,94.9,85.1,89.5,79.3,66.9,Achievable target,66.9,Pass,True,None
4th Year,69.2,82.8,69.8,82.0,97.7,75.9,73.9,58.1,Achievable target,90.1,Pass,True,None
2nd Year,95.3,80.1,96.9,93.7,75.6,76.5,85.3,52.6,Achievable target,50.3,Fail,False,Overperformance
